Ex01,Ex02,Ex03,Ex04,Project,Question 1,Question 2,Question 3,Question 4,Exam,Total
100,85,80,70,80,18,16,23,22,79,81
100,85,80,90,93,20,13,11,22,66,79
100,100,85,30,70,7,7,0,2,16,42
95,95,100,55,87,14,16,4,13,47,67
65,95,65,25,70,4,6,0,0,10,39
90,90,80,95,75,24,19,10,21,74,78
95,85,100,100,100,21,25,20,24,90,94
100,85,80,50,68,23,14,22,21,80,77
80,90,90,90,67,3,9,0,0,12,42
90,75,100,90,74,24,14,19,4,61,70
85,70,70,0,73,18,9,3,3,33,50
100,85,70,50,86,20,11,5,15,51,68
95,80,80,85,93,19,20,24,14,77,84
95,85,100,90,85,23,9,25,19,76,82
95,90,65,80,97,19,22,14,25,80,86
100,90,70,80,92,17,17,15,19,68,76
95,80,80,70,82,24,15,14,24,77,80
80,80,65,60,55,12,23,13,17,65,62
80,90,70,95,75,15,15,5,2,37,58
100,100,100,90,72,22,24,14,21,81,82
100,100,100,65,90,19,19,12,10,60,76
70,85,65,100,65,21,17,6,20,64,64
95,90,100,90,70,20,11,10,2,43,62
100,90,65,70,68,17,8,0,6,31,53
80,85,80,90,72,17,11,12,11,51,65
100,100,100,40,70,22,21,14,9,66,69
75,90,75,70,93,20,19,21,24,84,86
100,100,80,80,100,21,17,17,18,73,83
100,60,95,40,80,16,7,0,5,28,53
100,100,80,90,72,21,17,4,6,48,64
95,90,90,90,81,23,14,12,18,67,76
95,75,75,30,55,24,19,19,14,76,70
95,80,90,90,85,24,19,10,15,68,78
100,90,80,80,77,21,17,5,25,68,75
90,85,80,60,55,24,19,17,20,80,73
90,90,75,75,72,21,24,11,15,71,70
100,90,80,100,95,25,17,24,23,89,92
80,85,100,80,92,21,16,17,17,71,81
95,95,80,85,70,23,21,20,17,81,80
95,60,80,90,90,25,19,15,23,82,85
60,85,60,20,70,17,11,0,5,33,48
100,80,100,50,75,3,10,1,2,16,47
100,60,80,85,68,20,13,15,9,57,66
60,80,70,40,0,11,21,0,0,32,26
90,70,45,65,90,4,10,0,6,20,52
100,100,90,55,75,18,20,4,9,51,64
100,100,90,90,85,22,4,10,8,44,67
100,95,90,95,75,15,18,10,16,59,71
100,90,95,100,90,25,21,16,25,87,90
100,75,65,50,68,15,13,0,4,32,52
100,100,80,95,85,15,24,19,22,80,85
80,95,85,75,70,16,4,1,8,29,52
100,80,80,80,77,23,20,21,25,89,85
100,95,95,90,85,20,17,10,13,60,75
100,85,80,95,75,24,22,20,24,90,83
90,85,80,90,85,14,8,6,10,38,62
80,60,80,85,70,23,20,15,19,77,76
60,85,75,85,70,20,12,0,0,32,53
65,90,90,85,69,21,15,11,7,54,65
100,90,90,85,75,24,21,14,6,65,74
90,80,65,70,70,23,13,12,9,57,66
